AAEL000001	bystin
AAEL007389	GPCR (Rhod)opsin Family
AAEL007390	UDP-glucose 4-epimerase
AAEL007391	hypothetical protein
AAEL007392	mitochondrial import receptor subunit tom20
AAEL007393	hypothetical protein
AAEL007394	conserved hypothetical protein
AAEL007395	conserved hypothetical protein
AAEL007397	Ecdysone-inducedprotein 75B isoform A,Nuclear receptor
AAEL007398	hypothetical protein
AAEL007399	conserved hypothetical protein
AAEL007400	signal recognition particle 54 kda protein
AAEL007401	roundabout, putative
AAEL007402	Mediator of RNA polymerase II transcription subunit 1 (Mediator complex subunit 1)
AAEL007403	conserved hypothetical protein
AAEL007404	conserved hypothetical protein
AAEL007405	conserved hypothetical protein
AAEL007406	conserved hypothetical protein
AAEL007407	hypothetical protein
AAEL007408	conserved hypothetical protein
AAEL007409	xylosyltransferase
AAEL007410	Inhibitor-2, putative
AAEL007411	conserved hypothetical protein
AAEL007412	sphingomyelin phosphodiesterase
AAEL007413	sulfotransferase (sult)
AAEL007414	conserved hypothetical protein
AAEL007415	multicopper oxidase
AAEL007416	cysteine dioxygenase
AAEL007417	hypothetical protein
AAEL007418	hypothetical protein
AAEL007419	hypothetical protein
AAEL007420	serine protease inhibitor (serpin) homologue - unlikely to be inhibitory.
AAEL007421	sulfotransferase (sult)
AAEL007422	cp27, putative
AAEL007423	conserved hypothetical protein
AAEL007424	phospholipid scramblase, putative
AAEL007425	hypothetical protein
AAEL007426	zinc finger protein
AAEL007427	zinc finger protein
AAEL007428	hypothetical protein
AAEL007429	thyroid receptor interacting protein
AAEL007430	hypothetical protein
AAEL007431	conserved hypothetical protein
AAEL007432	serine collagenase 1 precursor, putative
AAEL007433	conserved hypothetical protein
AAEL007434	testis-specific serine/threonine kinase 22c
AAEL007435	hypothetical protein
AAEL007436	conserved hypothetical protein
AAEL007437	conserved hypothetical protein
AAEL007438	dipeptidyl-peptidase
AAEL007439	myosin light chain 1,
AAEL007440	hypothetical protein
AAEL007441	translocon-associated protein, gamma subunit
AAEL007442	F-box/leucine rich repeat protein
AAEL007443	serine/threonine protein kinase
AAEL007444	conserved hypothetical protein
AAEL007445	conserved hypothetical protein
AAEL007446	hypothetical protein
AAEL007447	hypothetical protein
AAEL007448	dipeptidyl-peptidase
AAEL007449	hypothetical protein
AAEL007450	odd skipped, putative
AAEL007451	WD-repeat protein
AAEL007452	conserved hypothetical protein
AAEL007453	hypothetical protein
AAEL007454	conserved hypothetical protein
AAEL007455	thrombospondin
AAEL007456	zinc finger protein, putative
AAEL007457	insect origin recognition complex subunit
AAEL007458	amino acid transporter
AAEL007459	microfibrillar-associated protein, putative
AAEL007460	hypothetical protein
AAEL007461	conserved hypothetical protein
AAEL007462	conserved hypothetical protein
AAEL007463	5,10-methylenetetrahydrofolate reductase, putative
AAEL007464	hypothetical protein
AAEL007465	conserved hypothetical protein
AAEL007466	histone-fold protein CHRAC subunit, putative
AAEL007467	hypothetical protein
AAEL007468	zinc finger protein, putative
AAEL007469	mitotic checkpoint protein bub3
AAEL007470	staufen
AAEL007471	NF-180, putative
AAEL007472	conserved hypothetical protein
AAEL007473	cytochrome P450
AAEL007474	geminin, putative
AAEL007475	conserved hypothetical protein
AAEL007476	makorin
AAEL007477	ubiquitin-conjugating enzyme E2 i
AAEL007478	conserved hypothetical protein
AAEL007479	hypothetical protein
AAEL007480	glutamate-cysteine ligase, regulatory-subunit, putative
AAEL007481	GDP-fucose transporter, putative
AAEL007482	Mediator of RNA polymerase II transcription subunit 27 (Mediator complex subunit 27)
AAEL007483	conserved hypothetical protein
AAEL007484	protein transport protein sec23
AAEL007485	sodium-dependent phosphate transporter
AAEL007487	conserved hypothetical protein
AAEL007488	hypothetical protein
AAEL007489	synaptic vesicle protein
AAEL007490	conserved hypothetical protein
AAEL007491	hypothetical protein
AAEL007492	conserved hypothetical protein
AAEL007493	conserved hypothetical protein
AAEL007494	calcineurin b subunit
AAEL007495	phosphoglycerate mutase
AAEL007496	DNA-directed RNA polymerase III, 62-kS-subunit, putative
AAEL007497	conserved hypothetical protein
AAEL007498	conserved hypothetical protein
AAEL007499	hypothetical protein
AAEL007500	conserved hypothetical protein
AAEL007501	nikI, nikkomycin biosynthesis protein P6, putative
AAEL007502	iroquois-class homeodomain protein irx
AAEL007503	m-rdgb2 retinal degeneration protein b
AAEL007504	hypothetical protein
AAEL007505	iroquois-class homeodomain protein irx
AAEL007506	lava lamp protein
AAEL007507	conserved hypothetical protein
AAEL007508	oviductin
AAEL007509	neuroendocrine differentiation factor
AAEL007510	conserved hypothetical protein
AAEL007511	serine protease
AAEL007512	ATP-dependent RNA and DNA helicase
AAEL007513	conserved hypothetical protein
AAEL007514	oviductin
AAEL007515	delta(9)-desaturase, putative
AAEL007516	fatty acid desaturase, putative
AAEL007517	oviductin
AAEL007518	complexin, putative
AAEL007519	oviductin
AAEL007520	nucleoprotein, putative
AAEL007521	importin beta-2
AAEL007522	goodpasture antigen-binding protein
AAEL007523	peroxisomal n1-acetyl-spermine/spermidine oxidase
AAEL007524	conserved hypothetical protein
AAEL007525	rab 19, 41 and
AAEL007526	electron transfer flavoprotein-ubiquinone oxidoreductase
AAEL007527	conserved hypothetical protein
AAEL007528	conserved hypothetical protein
AAEL007529	nucleoprotein, putative
AAEL007530	hypothetical protein
AAEL007531	hypothetical protein
AAEL007532	conserved hypothetical protein
AAEL007533	conserved hypothetical protein
AAEL007534	conserved hypothetical protein
AAEL007535	conserved hypothetical protein
AAEL007536	carnitine o-acyltransferase
AAEL007537	conserved hypothetical protein
AAEL007538	conserved hypothetical protein
AAEL007539	hypothetical protein
AAEL007540	hypothetical protein
AAEL007541	DNA polymerase delta small subunit
AAEL007542	glutamate decarboxylase
AAEL007543	hypothetical protein
AAEL007544	serine/threonine-protein kinase chk2 (cds1)
AAEL007545	hypothetical protein
AAEL007546	actin-related protein 2/3 complex subunit 1A
AAEL007547	chloride channel protein
AAEL007548	leukocyte receptor cluster (lrc) member
AAEL007549	phosphatidylethanolamine-binding protein
AAEL007550	conserved hypothetical protein
AAEL007551	vacuolar protein sorting-associated protein (vps13d)
AAEL007552	hypothetical protein
AAEL007553	hypothetical protein
AAEL007554	conserved hypothetical protein
AAEL007555	acyl-coa dehydrogenase
AAEL007556	hypothetical protein
AAEL007557	asparagine synthetase
AAEL007558	helicase
AAEL007559	guanyl-nucleotide exchange factor, putative
AAEL007560	core 1 udp-galactose:n-acetylgalactosamine-alpha-r beta 1,3- galactosyltransferase
AAEL007561	conserved hypothetical protein
AAEL007562	conserved hypothetical protein
AAEL007563	dual oxidase, peroxidase and NADPH-oxidase domains
AAEL007564	zinc finger protein
AAEL007565	leucine rich protein, putative
AAEL007566	dynactin subunit P25
AAEL007567	hypothetical protein
AAEL007568	DNA-directed RNA polymerase
AAEL007569	dihydropyridine-sensitive l-type calcium channel
AAEL007570	G protein beta subunit, putative
AAEL007571	hypothetical protein
AAEL007572	fidipidine
AAEL007573	conserved hypothetical protein
AAEL007574	conserved hypothetical protein
AAEL007575	conserved hypothetical protein
AAEL007576	conserved hypothetical protein
AAEL007577	conserved hypothetical protein
AAEL007578	shk1 kinase-binding protein
AAEL007579	conserved hypothetical protein
AAEL007580	hypothetical protein
AAEL007581	Rfc5p, putative
AAEL007582	granzyme A precursor, putative
AAEL007583	predicted protein
AAEL007584	conserved hypothetical protein
AAEL007585	cathepsin b
AAEL007586	nuclear pore complex protein nup98
AAEL007587	conserved hypothetical protein
AAEL007588	hypothetical protein
AAEL007589	Dedicator of cytokinesis protein 2
AAEL007590	cathepsin b
AAEL007591	conserved hypothetical protein
AAEL007592	conserved hypothetical protein
AAEL007593	Clip-domain serine protease, family C.
AAEL007594	conserved hypothetical protein
AAEL007595	conserved hypothetical protein
AAEL007596	trypsin, putative
AAEL007597	Clip-domain serine protease, family C. Transcript A.
AAEL007598	hypothetical protein
AAEL007599	cathepsin b
AAEL007600	trypsin, putative
AAEL007601	trypsin
AAEL007602	trypsin, putative
AAEL007603	odorant-binding protein 56a, putative
AAEL007604	odorant-binding protein 56a, putative
AAEL007605	hypothetical protein
AAEL007606	hypothetical protein
AAEL007607	conserved hypothetical protein
AAEL007608	conserved hypothetical protein
AAEL007609	histone H2A
AAEL007610	hypothetical protein
AAEL007611	hypothetical protein
AAEL007612	hypothetical protein
AAEL007613	Toll-likeReceptor.
AAEL007614	conserved hypothetical protein
AAEL007615	hypothetical protein
AAEL007616	conserved hypothetical protein
AAEL007617	serine/threonine-protein kinase vrk
AAEL007618	conserved hypothetical protein
AAEL007619	Toll-likeReceptor.
AAEL007620	hypothetical protein
AAEL007621	conserved hypothetical protein
AAEL007622	hypothetical protein
AAEL007623	conserved hypothetical protein
AAEL007624	IMDpathway signalling, NF-kappaB Relish-like transcription factor.
AAEL007625	conserved hypothetical protein
AAEL007626	Gram-NegativeBinding Protein (GNBP), or Beta-1,3-Glucan Binding Protein (BGBP).
AAEL007627	hypothetical protein
AAEL007629	hypothetical protein
AAEL007630	conserved hypothetical protein
AAEL007631	conserved hypothetical protein
AAEL007632	myosin light chain kinase
AAEL007633	dihydropyrimidinase
AAEL007634	Protein KRTCAP2 homolog 
AAEL007635	conserved hypothetical protein
AAEL007636	hypothetical protein
AAEL007637	AAA ATPase
AAEL007638	conserved hypothetical protein
AAEL007639	conserved hypothetical protein
AAEL007640	Molybdopterin synthase catalytic subunit 1 (EC 2.-.-.-)(Molybdenum cofactor synthesis protein 2B 1)(MOCS2B 1)(Molybdenum cofactor synthesis protein 2 large subunit 1)
AAEL007641	conserved hypothetical protein
AAEL007642	TOLLpathway signalling.
AAEL007643	Molybdopterin synthase sulfur carrier subunit (Sulfur carrier protein MOCS2A)(Molybdenum cofactor synthesis protein 2A)(MOCS2A)(Molybdenum cofactor synthesis protein 2 small subunit)
AAEL007644	GPCR Orphan/Putative Class A Family
AAEL007645	hypothetical protein
AAEL007646	conserved hypothetical protein
AAEL007647	conserved hypothetical protein
AAEL007648	conserved hypothetical protein
AAEL007649	cell cycle checkpoint protein rad17
AAEL007650	chaperonin
AAEL007651	phosphorylase b kinase
AAEL007652	conserved hypothetical protein
AAEL007653	allantoinase
AAEL007654	hypothetical protein
AAEL007655	conserved hypothetical protein
AAEL007656	receptor for activated C kinase, putative
AAEL007657	low-density lipoprotein receptor (ldl)
AAEL007658	partitioning defective 3, par-3
AAEL007659	hypothetical protein
AAEL007660	suppressor of actin (sac)
AAEL007661	rab-40
AAEL007662	casein kinase
AAEL007663	hypothetical protein
AAEL007664	nicotinic acetylcholine receptor subunit
AAEL007665	hypothetical protein
AAEL007666	hypothetical protein
AAEL007667	hypothetical protein
AAEL007668	mitochondrial ribosomal protein, S29, putative
AAEL007669	oxidoreductase
AAEL007670	tiptop
AAEL007671	hypothetical protein
AAEL007672	myst histone acetyltransferase
AAEL007673	alpha-amylase
AAEL007674	conserved hypothetical protein
AAEL007675	alpha-amylase
AAEL007676	hypothetical protein
AAEL007677	phospholysine phosphohistidine inorganic pyrophosphate phosphatase
AAEL007678	hypothetical protein
AAEL007679	conserved hypothetical protein
AAEL007680	hypothetical protein
AAEL007681	NADH-ubiquinone oxidoreductase flavoprotein 1 (ndufv1)
AAEL007682	conserved hypothetical protein
AAEL007683	prokaryotic DNA topoisomerase
AAEL007684	tektin, putative
AAEL007685	conserved hypothetical protein
AAEL007686	conserved hypothetical protein
AAEL007687	transmembrane 9 superfamily protein member 4
AAEL007688	serine/threonine protein kinase, putative
AAEL007689	phospholipid-transporting ATPase 1 (aminophospholipid flippase 1)
AAEL007690	conserved hypothetical protein
AAEL007691	organic anion transporter
AAEL007692	conserved hypothetical protein
AAEL007693	organic anion transporter
AAEL007694	conserved hypothetical protein
AAEL007695	ser/thr protein kinase-trb3
AAEL007696	TOLLpathway signalling, NF-kappaB Relish-like transcription factor.
AAEL007697	conserved hypothetical protein
AAEL007698	PIWI
AAEL007699	60S ribosomal protein L9
AAEL007700	ERm
AAEL007701	conserved hypothetical protein
AAEL007702	chaperonin
AAEL007703	conserved hypothetical protein
AAEL007704	lipoma preferred partner/lpp
AAEL007705	hect E3 ubiquitin ligase
AAEL007706	conserved hypothetical protein
AAEL007707	malate dehydrogenase
AAEL007708	WD-repeat protein
AAEL007709	GPCR GABA B Family
AAEL007710	conserved hypothetical protein
AAEL007711	conserved hypothetical protein
AAEL007712	tuberous sclerosis complex 2 (TSC2)
AAEL007713	viral IAP-associated factor, putative
AAEL007714	hypothetical protein
AAEL007715	60S ribosomal protein L21
AAEL007716	conserved hypothetical protein
AAEL007717	alpha-endosulfine, putative
AAEL007718	Eukaryotic translation initiation factor 3 subunit B (eIF3b)(Eukaryotic translation initiation factor 3 subunit 9)
AAEL007719	rhombotin
AAEL007720	conserved hypothetical protein
AAEL007721	conserved hypothetical protein
AAEL007722	hypothetical protein
AAEL007723	MUC1 protein, putative
AAEL007724	conserved hypothetical protein
AAEL007725	reticulocalbin
AAEL007726	hypothetical protein
AAEL007727	hypothetical protein
AAEL007728	hypothetical protein
AAEL007729	conserved hypothetical protein
AAEL007730	tetratricopeptide repeat protein 10, tpr10
AAEL007731	Pep12p, putative
AAEL007732	peptidyl-glycine alpha-amidating monooxygenase
AAEL007733	conserved hypothetical protein
AAEL007734	conserved hypothetical protein
AAEL007735	conserved hypothetical protein
AAEL007736	forkhead protein/ forkhead protein domain
AAEL007737	hypothetical protein
AAEL007738	app binding protein
AAEL007739	pupal cuticle protein, putative
AAEL007740	hypothetical protein
AAEL007741	sterol desaturase
AAEL007742	tyrosine-protein kinase
AAEL007743	hypothetical protein
AAEL007744	hypothetical protein
AAEL007745	hypothetical protein
AAEL007746	conserved hypothetical protein
AAEL007747	hypothetical protein
AAEL007748	ClassB Scavenger Receptor (CD36 domain).
AAEL007749	hypothetical protein
AAEL007750	conserved hypothetical protein
AAEL007751	predicted protein
AAEL007752	cytochrome c oxidase, subunit VIIA, putative
AAEL007753	conserved hypothetical protein
AAEL007754	conserved hypothetical protein
AAEL007755	conserved hypothetical protein
AAEL007756	neural stem cell-derived dendrite regulator
AAEL007757	conserved hypothetical protein
AAEL007758	conserved hypothetical protein
AAEL007759	conserved hypothetical protein
AAEL007760	mct-1 protein
AAEL007761	chloride intracellular channel
AAEL007762	mitochondrial ribosomal protein, L40, putative
AAEL007763	vacuole membrane protein
AAEL007764	dipeptidyl-peptidase
AAEL007765	serine protease inhibitor (serpin), likely cleavage at K/R. Transcript A.
AAEL007766	ras GTPase, putative
AAEL007767	Protein kintoun 
AAEL007768	TOLLpathway signalling.
AAEL007769	hypothetical protein
AAEL007770	voltage and ligand gated potassium channel
AAEL007771	60S ribosomal protein L22
AAEL007772	conserved hypothetical protein
AAEL007773	conserved hypothetical protein
AAEL007774	hypothetical protein
AAEL007775	hypothetical protein
AAEL007776	conserved hypothetical protein
AAEL007777	vacuolar ATP synthase subunit S1
AAEL007778	leucine-rich transmembrane protein
AAEL007779	hypothetical protein
AAEL007780	conserved hypothetical protein
AAEL007781	hypothetical protein
AAEL007782	hypothetical protein
AAEL007783	centromere protein-A, putative
AAEL007784	conserved hypothetical protein
AAEL007785	leucine-rich transmembrane protein
AAEL007786	hypothetical protein
AAEL007787	5-aminolevulinic acid synthase
AAEL007788	conserved hypothetical protein
AAEL007789	alkyldihydroxyacetonephosphate synthase
AAEL007790	maternal g10 transcript
AAEL007791	conserved hypothetical protein
AAEL007792	conserved hypothetical protein
AAEL007793	alkyldihydroxyacetonephosphate synthase
AAEL007794	defective proboscis extension response, putative
AAEL007795	cytochrome P450
AAEL007796	Clip-domain serine protease, family D.
AAEL007797	conserved hypothetical protein
AAEL007798	cytochrome P450
AAEL007799	regulator of chromosome condensation
AAEL007800	cytidine and deoxycytidylate deaminase zinc-binding region
AAEL007801	exonuclease
AAEL007802	multicopper oxidase
AAEL007803	lamin b receptor
AAEL007804	semaphorin
AAEL007805	hypothetical protein
AAEL007806	conserved hypothetical protein
AAEL007807	cytochrome P450
AAEL007808	cytochrome P450
AAEL007809	potassium channel regulator
AAEL007810	conserved hypothetical protein
AAEL007811	short-chain dehydrogenase
AAEL007812	cytochrome P450
AAEL007813	hypothetical protein
AAEL007814	n-twist
AAEL007815	cytochrome P450
AAEL007816	cytochrome P450
AAEL007817	hypothetical protein
AAEL007818	Trypsin 3A1 Precursor (EC 3.4.21.4)
AAEL007819	hypothetical protein
AAEL007820	conserved hypothetical protein
AAEL007821	signalosome, subunit 2, CSN8, putative
AAEL007822	ubiquitin-conjugating enzyme E2 g
AAEL007823	PIWI
AAEL007824	ribosomal protein S29, putative
AAEL007825	conserved hypothetical protein
AAEL007826	cgmp-dependent protein kinase
AAEL007827	conserved hypothetical protein
AAEL007828	palmitoyl-protein thioesterase
AAEL007830	cytochrome P450
AAEL007831	conserved hypothetical protein
AAEL007832	GPCR Muscarinic Acetylcholine Family
AAEL007833	hypothetical protein
AAEL007834	conserved hypothetical protein
AAEL007835	serine/threonine protein kinase
AAEL007836	hypothetical protein
AAEL007837	hypothetical protein
AAEL007838	conserved hypothetical protein
AAEL007839	beta-hexosaminidase
AAEL007841	hypothetical protein
AAEL007842	conserved hypothetical protein
AAEL007843	symbol, putative
AAEL007844	hypothetical protein
AAEL007845	rab5
AAEL007846	hypothetical protein
AAEL007847	conserved hypothetical protein
AAEL007848	conserved hypothetical protein
AAEL007849	conserved hypothetical protein
AAEL007850	hypothetical protein
AAEL007851	hypothetical protein
AAEL007852	hypothetical protein
AAEL007853	lupus la protein (Sjogren syndrome type B antigen) (La/SS-B), putative
AAEL007854	pelota
AAEL007855	hypothetical protein
AAEL007856	crumbs
AAEL007857	hypothetical protein
AAEL007858	ran GTPase-activating protein
AAEL007859	conserved hypothetical protein
AAEL007860	hypothetical protein
AAEL007861	hypothetical protein
AAEL007862	conserved hypothetical protein
AAEL007863	conserved hypothetical protein
AAEL007864	zinc finger protein
AAEL007865	conserved hypothetical protein
AAEL007866	hypothetical protein
AAEL007867	hypothetical protein
AAEL007868	ubiquinol-cytochrome c reductase complex 14 kd protein
AAEL007869	hypothetical protein
AAEL007870	hypothetical protein
AAEL007871	anaphase-promoting complex
AAEL007872	hypothetical protein
AAEL007873	hypothetical protein
AAEL007874	conserved hypothetical protein
AAEL007875	hypothetical protein
AAEL007876	tyrosine protein kinase with ig domain
AAEL007877	conserved hypothetical protein
AAEL007878	ornithine decarboxylase
AAEL007879	hypothetical protein
AAEL007880	ornithine decarboxylase
AAEL007881	conserved hypothetical protein
AAEL007882	histone H1, putative
AAEL007883	fk506-binding protein
AAEL007884	conserved membrane protein at 44E, putative
AAEL007885	translation initiation factor-3 (IF3), putative
AAEL007886	hypothetical protein
AAEL007887	ornithine decarboxylase
AAEL007888	protein 4.1 homolog (Coracle protein), putative
AAEL007889	F-spondin
AAEL007890	hypothetical protein
AAEL007891	xtp3-transactivated protein b
AAEL007892	xaa-pro aminopeptidase
AAEL007893	short chain type dehydrogenase
AAEL007894	hypothetical protein
AAEL007895	beta-1,4-galactosyltransferase
AAEL007896	hypothetical protein
AAEL007897	Spaetzle-likecytokine.
AAEL007898	calmin
AAEL007899	spermatogenesis associated factor
AAEL007900	conserved hypothetical protein
AAEL007901	hypothetical protein
AAEL007902	hypothetical protein
AAEL007903	hypothetical protein
AAEL007904	cleavage and polyadenylation specificity factor
AAEL007905	hypothetical protein
AAEL007906	conserved hypothetical protein
AAEL007907	serine/threonine protein kinase
AAEL007908	nicotinamide mononucleotide adenylyltransferase
AAEL007909	branched-chain amino acid aminotransferase
AAEL007910	conserved hypothetical protein
AAEL007911	dynein heavy chain
AAEL007912	conserved hypothetical protein
AAEL007913	sulfotransferase (sult)
AAEL007914	discs large protein
AAEL007915	Moesin/ezrin/radixin homolog 1 
AAEL007916	conserved hypothetical protein
AAEL007917	sarcolemmal associated protein, putative
AAEL007918	dynein heavy chain
AAEL007919	conserved hypothetical protein
AAEL007920	conserved hypothetical protein
AAEL007921	zinc finger protein
AAEL007922	conserved hypothetical protein
AAEL007923	eukaryotic translation initiation factor 4 gamma
AAEL007924	GPCR Neuropeptide Y Family
AAEL007925	histone H2A
AAEL007926	retinoid-inducible serine carboxypeptidase (serine carboxypeptidase
AAEL007927	hypothetical protein
AAEL007928	eukaryotic translation initiation factor 4 gamma
AAEL007929	hypothetical protein
AAEL007930	sugar transporter
AAEL007931	P21-activated kinase, pak
AAEL007932	hypothetical protein
AAEL007933	AaGr31
AAEL007934	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase
AAEL007935	AaGr20j
AAEL007936	conserved hypothetical protein
AAEL007938	serine-type enodpeptidase,
AAEL007939	conserved hypothetical protein
AAEL007940	AaGr77
AAEL007941	triacylglycerol lipase, putative
AAEL007942	fibrinogen and fibronectin
AAEL007943	conserved hypothetical protein
AAEL007944	conserved hypothetical protein
AAEL007945	Eukaryotic translation initiation factor 3 subunit H (eIF3h)
AAEL007946	glutathionetransferase
AAEL007947	glutathionetransferase
AAEL007948	glutathionetransferase
AAEL007949	clk2
AAEL007950	eps-15
AAEL007951	glutathionetransferase
AAEL007952	conserved hypothetical protein
AAEL007953	conserved hypothetical protein
AAEL007954	glutathionetransferase
AAEL007955	glutathionetransferase
AAEL007956	conserved hypothetical protein
AAEL007957	hypothetical protein
AAEL007958	erk1/2
AAEL007959	conserved hypothetical protein
AAEL007960	hypothetical protein
AAEL007961	hypothetical protein
AAEL007962	glutathionetransferase
AAEL007963	hypothetical protein
AAEL007964	glutathionetransferase
AAEL007965	conserved hypothetical protein
AAEL007966	glutamate receptor, ionotropic ampa, subunit 1, 2, 3,
AAEL007967	conserved hypothetical protein
AAEL007968	hypothetical protein
AAEL007969	serine protease
AAEL007970	conserved hypothetical protein
AAEL007971	tyrosine transporter
AAEL007972	apolipoprotein D, putative
AAEL007973	hypothetical protein
AAEL007974	hypothetical protein
AAEL007975	hypothetical protein
AAEL007976	conserved hypothetical protein
AAEL007977	hypothetical protein
AAEL007978	angiotensin-converting-relatedenzyme
AAEL007979	tyrosine transporter
AAEL007980	hypothetical protein
AAEL007981	conserved hypothetical protein
AAEL007982	glycosyltransferase
AAEL007983	hypothetical protein
AAEL007984	conserved hypothetical protein
AAEL007985	conserved hypothetical protein
AAEL007986	conserved hypothetical protein
AAEL007987	SEC63 protein, putative
AAEL007988	conserved hypothetical protein
AAEL007989	hypothetical protein
AAEL007990	conserved hypothetical protein
AAEL007991	conserved hypothetical protein
AAEL007992	trypsin, putative
AAEL007993	Clip-domain serine protease, family B.
AAEL007994	conserved hypothetical protein
AAEL007995	conserved hypothetical protein
AAEL007996	centaurin alpha
AAEL007997	conserved hypothetical protein
AAEL007998	conserved hypothetical protein
AAEL007999	conserved hypothetical protein
AAEL008000	golgi reassembly stacking protein 2 (grasp2)
AAEL008001	conserved hypothetical protein
AAEL008002	mitochondrial NADH:ubiquinone oxidoreductase ESSS subunit, putative
AAEL008003	serine protease
AAEL008004	Elongation of very long chain fatty acids protein AAEL008004 
AAEL008005	conserved hypothetical protein
AAEL008006	3-hydroxyacyl-coa dehyrogenase
AAEL008007	conserved hypothetical protein
AAEL008008	cullin
AAEL008009	conserved hypothetical protein
AAEL008010	sidestep protein
AAEL008011	odorant-binding protein 56a, putative
AAEL008012	hypothetical protein
AAEL008013	odorant binding protein
AAEL008014	ef hand protein
AAEL008015	hypothetical protein
AAEL008016	short-chain dehydrogenase
AAEL008017	cytochrome P450
AAEL008018	cytochrome P450
AAEL008019	hypothetical protein
AAEL008020	sorting nexin
AAEL008021	specifically Rac-associated protein, putative
AAEL008022	homeobox protein
AAEL008023	cytochrome P450
AAEL008024	hypothetical protein
AAEL008025	conserved hypothetical protein
AAEL008026	conserved hypothetical protein
AAEL008027	hypothetical protein
AAEL008028	monocarboxylate transporter
AAEL008029	ras-related protein, putative
AAEL008030	fibrinogen and fibronectin
AAEL008031	carbonic anhydrase
AAEL008032	conserved hypothetical protein
AAEL008033	hypothetical protein
AAEL008034	conserved hypothetical protein
AAEL008035	ATP-dependent RNA helicase
AAEL008036	dynein heavy chain
AAEL008037	n-acetylgalactosaminyltransferase
AAEL008038	conserved hypothetical protein
AAEL008039	conserved hypothetical protein
AAEL008040	brain chitinase and chia
AAEL008041	bleomycin hydrolase
AAEL008042	conserved hypothetical protein
AAEL008043	PNR-like,nuclear receptor
AAEL008044	conserved hypothetical protein
AAEL008045	hexamerin 2 beta
AAEL008046	rh antigen
AAEL008048	conserved hypothetical protein
AAEL008049	hypothetical protein
AAEL008050	hypothetical protein
AAEL008051	hypothetical protein
AAEL008052	hypothetical protein
AAEL008053	pickpocket
AAEL008054	conserved hypothetical protein
AAEL008055	nicotinic acetylcholine receptor subunit
AAEL008056	hyperpolarization activated cyclic nucleotide-gated potassium channel
AAEL008057	myosin light chain kinase
AAEL008058	liprin alpha (lar-interacting protein alpha) (synapse defective protein 2)
AAEL008059	conserved hypothetical protein
AAEL008060	hypothetical protein
AAEL008061	phosphatidylinositolglycan class N, putative
AAEL008062	thrombospondin
AAEL008063	conserved hypothetical protein
AAEL008064	conserved hypothetical protein
AAEL008065	hypothetical protein
AAEL008066	trkB protein, putative
AAEL008067	conserved hypothetical protein
AAEL008068	conserved hypothetical protein
AAEL008069	notch
AAEL008070	conserved hypothetical protein
AAEL008071	apsB, putative
AAEL008072	NADH-plastoquinone oxidoreductase
AAEL008073	conserved hypothetical protein
AAEL008074	hypothetical protein
AAEL008075	Multiple PDZ domain protein
AAEL008076	PIWI
AAEL008077	conserved hypothetical protein
AAEL008078	clk2
AAEL008079	trypsin-alpha, putative
AAEL008080	trypsin-eta, putative
AAEL008081	excision repair cross-complementing 1 ercc1
AAEL008082	hypothetical protein
AAEL008083	40S ribosomal protein SA 
AAEL008084	phosphatidylserine receptor
AAEL008085	trypsin
AAEL008086	conserved hypothetical protein
AAEL008087	conserved hypothetical protein
AAEL008088	conserved hypothetical protein
AAEL008089	conserved hypothetical protein
AAEL008090	glutamate receptor, ionotropic, n-methyl d-aspartate epsilon (nmda epsilon)
AAEL008091	hypothetical protein
AAEL008092	hypothetical protein
AAEL008093	trypsin
AAEL008094	hypothetical protein
AAEL008095	conserved hypothetical protein
AAEL008096	mitochondrial ornithine transporter
AAEL008097	trypsin-eta, putative
AAEL008098	PIWI
AAEL008099	procollagen-lysine,2-oxoglutarate 5-dioxygenase
AAEL008100	conserved hypothetical protein
AAEL008101	hypothetical protein
AAEL008102	actin binding protein, putative
AAEL008103	40S ribosomal protein S8
AAEL008104	fibrinogen and fibronectin
AAEL008105	glutamate cysteine ligase
AAEL008106	hypothetical protein
AAEL008107	f14p3.9 protein (auxin transport protein)
AAEL008108	guanine nucleotide-binding protein beta 2 (g protein beta2)
AAEL008109	Protein mab-21-like 
AAEL008110	centrosomin (arrow protein)
AAEL008111	conserved hypothetical protein
AAEL008112	conserved hypothetical protein
AAEL008113	hypothetical protein
AAEL008114	p15-2b protein, putative
AAEL008115	conserved hypothetical protein
AAEL008116	conserved hypothetical protein
AAEL008117	ion channel nompc
AAEL008118	Protein mab-21 
AAEL008119	hypothetical protein
AAEL008120	ribosomal RNA methyltransferase
AAEL008121	conserved hypothetical protein
AAEL008122	hypothetical protein
AAEL008123	hypothetical protein
AAEL008124	possible RNA methyltransferase, putative
AAEL008125	conserved hypothetical protein
AAEL008126	GPCR Latrophilin Family
AAEL008127	conserved hypothetical protein
AAEL008128	mitochondrial inner membrane protein translocase, 13kD-subunit, putative
AAEL008129	conserved hypothetical protein
AAEL008130	hypothetical protein
AAEL008131	cytidylate kinase
AAEL008132	CRAL/TRIO domain-containing protein
AAEL008133	GTP-binding protein hflx
AAEL008134	ABC transporter
AAEL008135	Conserved oligomeric Golgi complex subunit 3 (COG complex subunit 3)(Component of oligomeric Golgi complex 3)
AAEL008136	conserved hypothetical protein
AAEL008137	hypothetical protein
